"","Model","MSPE"
"1","GF",8.33732231508639
"2","GF",5.28667631120639
"3","GF",8.92541488654972
"4","GF",7.5181660949946
"5","GF",14.7249920278376
"6","GF",5.05219111318939
"7","GF",6.85909190971889
"8","GF",6.43966901935657
"9","GF",6.2989726822868
"10","GF",12.6292967943971
"11","GF",6.80461312377576
"12","GF",11.7243427503192
"13","GF",2.99081519775087
"14","GF",11.1704651586414
"15","GF",4.47956394230617
"16","GF",6.13653762120018
"17","GF",7.96292392464826
"18","GF",6.88264459391884
"19","GF",4.93333378709309
"20","GF",8.40990848826536
"21","GF",2.03102830746209
"22","GF",9.83831649148865
"23","GF",4.92380347980356
"24","GF",8.22151523535052
"25","GF",5.42196609632669
"26","GF",8.06472265832135
"27","GF",4.6838037537396
"28","GF",6.07703411499167
"29","GF",4.23379984102752
"30","GF",5.36719222310539
"31","LF:GDP",13.1137865287643
"32","LF:GDP",8.61792718606234
"33","LF:GDP",12.5476991358883
"34","LF:GDP",26.4563483007589
"35","LF:GDP",6.17721892029722
"36","LF:GDP",8.03106825191163
"37","LF:GDP",13.45045021459
"38","LF:GDP",8.03461493556017
"39","LF:GDP",25.3349273266329
"40","LF:GDP",21.7460937085293
"41","LF:GDP",9.89130518405012
"42","LF:GDP",21.0701381168459
"43","LF:GDP",10.7041400147038
"44","LF:GDP",24.0474015128079
"45","LF:GDP",15.3087837766447
"46","LF:GDP",17.1899441380867
"47","LF:GDP",16.1766093880983
"48","LF:GDP",4.41208167534923
"49","LF:GDP",22.5455326299098
"50","LF:GDP",21.7140243857858
"51","LF:GDP",7.59348606029995
"52","LF:GDP",35.0123912577614
"53","LF:GDP",18.713524760315
"54","LF:GDP",29.2251079012252
"55","LF:GDP",8.63878475887081
"56","LF:GDP",12.2020368327386
"57","LF:GDP",5.67901013493539
"58","LF:GDP",11.9774684541587
"59","LF:GDP",11.0526255354112
"60","LF:GDP",16.6468580446684
"61","LF:HCexp",17.0556866246738
"62","LF:HCexp",5.34247055715511
"63","LF:HCexp",11.2341439129425
"64","LF:HCexp",11.0548211750616
"65","LF:HCexp",20.9322301821155
"66","LF:HCexp",4.48514143286564
"67","LF:HCexp",4.13495739859465
"68","LF:HCexp",4.33827235342453
"69","LF:HCexp",8.37558806525555
"70","LF:HCexp",9.06458880263807
"71","LF:HCexp",7.56494318704969
"72","LF:HCexp",5.33859527801517
"73","LF:HCexp",3.9393695459901
"74","LF:HCexp",18.0696045339495
"75","LF:HCexp",11.8511586969278
"76","LF:HCexp",4.03350693592538
"77","LF:HCexp",7.77640516649252
"78","LF:HCexp",4.35214348753562
"79","LF:HCexp",11.4092583613132
"80","LF:HCexp",3.92778960145588
"81","LF:HCexp",5.38460654540337
"82","LF:HCexp",18.1891321516878
"83","LF:HCexp",10.2090664577648
"84","LF:HCexp",16.0359399049785
"85","LF:HCexp",1.8217949504049
"86","LF:HCexp",5.08726197334674
"87","LF:HCexp",7.96294557525653
"88","LF:HCexp",4.70589211857718
"89","LF:HCexp",4.52310914197652
"90","LF:HCexp",8.29655648415517
"91","LF:CO2em",17.7220617240762
"92","LF:CO2em",11.4689555304528
"93","LF:CO2em",22.6208795427637
"94","LF:CO2em",23.1205166873668
"95","LF:CO2em",14.9766788305027
"96","LF:CO2em",9.28900246088848
